Term,gen_sg,Vocab_nom_sg,Source,HISCO_majorgroup,HISCO_minorgroup,Harris_Category,Subcategory,Translation_eng
samiator,oris,,Petrikovits 1981a,5,55,Miscellaneous Services,,"a polisher, furbisher"
sandaliarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,"sandal, shoe maker"
sandapilarius,i,,Petrikovits 1981a,5,59,Death-care sector,,"one that carries a sandapila, a corpse-bearer"
saponarius,i,saponarius,Waltzing - provinces,7,74,Household Goods,,soap producer
sarcinator,oris,,Petrikovits 1981a,7,79,Clothing,,"a patcher, botcher, mender of old garments"
sarcinatrix,icis,,Petrikovits 1981b,7,79,Clothing,,"female patcher, botcher, mender of old garments"
sarcitor,oris,,Petrikovits 1981a,7,79,Clothing,,"a patcher, botcher, mender of old garments"
sartcitrix,icis,,Petrikovits 1981b,7,79,Clothing,,"female patcher, botcher, mender of old garments"
sartur,uris,,Petrikovits 1981a,6,61,Miscellaneous Services,,"A hoer, weeder, cultivator"
sarsor,oris,,Petrikovits 1981a,6,61,Miscellaneous Services,,"A hoer, weeder, cultivator"
sartor,oris,,Petrikovits 1981a,6,61,Miscellaneous Services,,"A hoer, weeder, cultivator"
sartrix,icis,,Petrikovits 1981b,6,61,Miscellaneous Services,,"Female hoer, weeder, cultivator"
scabillarius,i,scabillarius,Waltzing - Rome,9,99,Miscellaneous Services,,"player of a footstool, cricket"
scaenarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,a painter
scaenaticus,i,scaenaticus,Waltzing - Rome,1,17,Performing Arts,,a stageplayer
scaenicus,i,scaenicus,Waltzing - Rome,1,17,Performing Arts,,"of the stage, scenic, dramatic, theatrical"
scalarius,i,,Petrikovits 1981a,9,95,Building,,"step maker, ladder maker"
scalptor,oris,,Petrikovits 1981a,1,16,Plastic Arts,,"a cutter, graver in metal or stone"
scamillarius,i,scamillarius,Waltzing - provinces,9,99,Miscellaneous Services,,"player of a footstool, cricket"
scandularius,i,,Petrikovits 1981a,9,95,Building,,shingle maker
scapharius,i,scapharius,Waltzing - Rome,0,4,Transport,Maritime/water transport,owner of a small boat
scaurarius,i,,Petrikovits 1981a,7,72,Metal-Working,,slag worker
scholasticus,i,scholasticus,Waltzing - provinces,1,13,Education,,"who teaches or studies rhetoric, a lecturer in the schools, a rhetorician"
scissor,oris,,Petrikovits 1981a,8,82,Building,,"a carver, kind of gladiator"
scordiscarius,i,,Petrikovits 1981a,8,80,Transport,Land transport,saddler
scriba,ae,scriba,Waltzing - Rome,3,30,Education,,"a public writer, official scribe, professional writer, clerk, secretary"
scriblitarius,i,,Petrikovits 1981a,5,53,Food-Production,,a tart-baker
scriptor,oris,scriptor,Petrikovits 1981a,3,30,Managerial,,"one who writes, a writer, scribe, copyist, clerk"
sculptor,oris,,Petrikovits 1981a,1,16,Plastic Arts,,"one who cuts, carves, or engraves in stone, wood"
scultor,oris,,Petrikovits 1981a,1,16,Plastic Arts,,"one who cuts, carves, or engraves in stone, wood"
scutarius,i,,Petrikovits 1981a,8,83,Miscellaneous Services,,shield maker
scutularius,i,,Petrikovits 1981a,8,81,Household Goods,,table maker with diamond shaped decor
sector,oris,sector,Waltzing - Rome,8,82,Building,,"one who cuts, a cutter"
securicularius,i,,Petrikovits 1981a,8,83,Metal-Working,,a little axe maker and seller
segmentarius,i,,Petrikovits 1981a,8,88,Metal-Working,,trimmer with gold or seller
sellularius,i,,Petrikovits 1981a,8,81,Household Goods,,"lounger, chair maker"
seplasiarius,i,,Petrikovits 1981a,9,94,Miscellaneous Services,,anoitment maker and seller
sericarius,i,,Petrikovits 1981a,7,75,Clothing,,silk producer and dealer
serrarius,i,serrarius,Waltzing - provinces,8,82,Building,Stone worker,stone-sawyer
sessoriarius,i,,Petrikovits 1981a,8,81,Household Goods,,armchair maker
sigillariarius,i,,Petrikovits 1981a,8,89,Household Goods,,a potter
sigillarius,i,,Petrikovits 1981a,8,89,Household Goods,,a potter
sigillator,oris,,Petrikovits 1981a,8,89,Household Goods,,a potter
signarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,a sculptor
signator,oris,,Petrikovits 1981a,3,39,Finance,,"one who stamps money, a coiner"
silicarius,i,,Petrikovits 1981a,9,95,Building,Stone worker,one that paves roads with pebble-stones
siliginarius,i,,Petrikovits 1981a,5,53,Food-Production,,wheat bread baker
silvicaedus,i,,Petrikovits 1981a,8,81,Building,Wood worker,lumberjack
similaginarius,i,,Petrikovits 1981a,5,53,Food-Production,,wheat bread baker
simpulariarius,i,,Petrikovits 1981a,8,81,Household Goods,,"a maker of simpula, ladle maker"
sindiniacus,i,,Petrikovits 1981a,7,75,Clothing,,"cotton stuff, muslin maker"
sindoniacus,i,sindoniacus,Waltzing - provinces,7,75,Clothing,,"cotton stuff, muslin maker"
sintoniacus,i,,Petrikovits 1981a,7,75,Clothing,,"cotton stuff, muslin maker"
siricaria,ae,,Petrikovits 1981a,7,75,Clothing,,silk producer and dealer
siricarius,i,,Petrikovits 1981a,7,75,Clothing,,silk producer and dealer
solatarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,shoe maker
solearius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,shoe maker
soliarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,shoe maker
spadicarius,i,,Petrikovits 1981a,7,75,Clothing,Colour production,dyer with brown colour
spatharius,i,,Petrikovits 1981a,8,83,Metal-Working,,"a broad sword with a double edge, sabre maker"
speclariarius,i,,Petrikovits 1981a,8,89,Glass-Working,,"a mirror-maker, window glass maker"
speclarius,i,,Petrikovits 1981a,8,89,Glass-Working,,"a mirror-maker, window glass maker"
speculariarius,i,,Petrikovits 1981a,8,89,Glass-Working,,"a mirror-maker, window glass maker"
specularius,i,specularius,Waltzing - Rome,8,89,Glass-Working,,"a mirror-maker, window glass maker"
sructor,oris,,Petrikovits 1981a,9,95,Building,Wood worker,"a builder, mason, carpenter"
stagnarius,i,,Petrikovits 1981a,8,83,Metal-Working,,"solder, metal worker"
stagnator,oris,,Petrikovits 1981a,7,72,Metal-Working,,tin caster
stannator,oris,,Petrikovits 1981a,7,72,Metal-Working,,tin caster
statuarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,"a maker of statues, a statuary "
strophiarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,bust maker
structor,oris,structor,Waltzing - Rome,9,95,Building,Wood worker,"a builder, mason, carpenter"
stuppator,oris,,Petrikovits 1981a,8,81,Building,Wood worker,"caulker, joiner"
stuppatorius,i,stuppatorius,Waltzing - Rome,4,45,Food-Retail,,"seller of coarse flax, tow, oakum"
suarius,i,suarius,Waltzing - Rome,6,62,Food-Production,,pig breader
subactarius,i,,Petrikovits 1981a,7,76,Clothing,,tanner
subaedanus,i,,Petrikovits 1981b,5,54,Miscellaneous Services,,worker inside the house
subaedianus,i,subaedianus,Waltzing - Rome,9,95,Building,Wood worker,carpenter ?
subaedius,i,,Petrikovits 1981a,5,54,Miscellaneous Services,,worker inside the house
subedius,i,,Petrikovits 1981a,5,54,Miscellaneous Services,,worker inside the house
subidianus,i,subidianus,Waltzing - provinces,9,95,Building,Wood worker,carpenter ?
subonatris,is,,Petrikovits 1981a,5,57,Miscellaneous Services,,female cosmetic assistant
subrutor,oris,subrutor,Waltzing - Rome,9,99,Building,,demolisher
suffossor,oris,,Petrikovits 1981a,7,71,Fuel / Raw material,,miner
suppostor,oris,,Petrikovits 1981a,3,31,Finance,,coin maker
susceptor,oris,susceptor,Waltzing - Rome,9,99,Miscellaneous Services,,"one who undertakes any thing, contractor"
sutor,oris,sutor,Waltzing - Rome,8,80,Clothing,Shoe maker,"a shoemaker, cobbler"
sutriballus,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,"a shoemaker, cobbler"
symphonicus,i,symphonicus,Waltzing - Rome,1,17,Performing Arts,,"of concerts, of music, musicmaker"
tabernaclarius,i,,Petrikovits 1981a,7,79,Miscellaneous Services,,tent maker
tabernacularius,i,,Petrikovits 1981a,7,79,Miscellaneous Services,,tent maker
tabernarius,i,tabernarius,Waltzing - Rome,4,45,Retail,,"shopkeepers, small dealers"
tector,oris,tector,Waltzing - provinces,9,95,Building,,"one that overlays walls with plaster, stucco, etc., a plasterer, pargeter"
tegetarius,i,,Petrikovits 1981a,7,79,Household Goods,,a mat-maker
tegularius,i,,Petrikovits 1981a,9,95,Building,,"a tile, roof-tile maker"
tellionarius,i,tellionarius,Waltzing - Rome,8,80,Clothing,,one who prepared skins for the use of soldiers
tentorius,i,,Petrikovits 1981a,7,79,Miscellaneous Services,,tent maker
tentorarius,i,,Petrikovits 1981a,7,79,Miscellaneous Services,,tent maker
tessalarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,"mosaicer, maker of mosaic"
tesselator,oris,,Petrikovits 1981a,1,16,Plastic Arts,,"mosaicer, maker of mosaic"
tessellarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,"mosaicer, maker of mosaic"
tesserarius lignarius,i,tesserarius,Petrikovits 1981a,8,81,Building,,"unclear, cutter of small wooden pieces"
testarius,i,,Petrikovits 1981a,9,95,Building,,"tile, brick maker"
textor,oris,,Petrikovits 1981a,7,75,Clothing,,weaver
textricula,ae,,Petrikovits 1981a,7,75,Clothing,,a little (female) weaver
textrix,icis,,Petrikovits 1981a,7,75,Clothing,,female weaver
tibiarius,i,,Petrikovits 1981a,9,95,Transport,Maritime/water transport,"fleet manufacturer, ship maker"
tibicinus,i,tibicinus,Waltzing - Rome,1,17,Performing Arts,,flute player
ticnarius,i,,Petrikovits 1981a,9,95,Building,Wood worker,carpenter
tignarius,i,tignarius,Waltzing - provinces,9,95,Building,Wood worker,carpenter
tignuarius,i,,Petrikovits 1981a,9,95,Building,Wood worker,carpenter
tignor,oris,,Petrikovits 1981a,9,95,Building,Wood worker,carpenter
tignoserrarius,i,,Petrikovits 1981a,8,81,Building,Wood worker,board/wood cutter
tinctor,oris,tinctor,Waltzing - Rome,7,75,Clothing,Colour production,a dyer
tomacularius,i,,Petrikovits 1981a,7,77,Food-Production,,"a sausage, liver-sausage maker, butcher"
tonsillaria,ae,,Petrikovits 1981a,5,57,Miscellaneous Services,,female hairdresser
tonsor,oris,tonsor,Waltzing - Rome,5,57,Miscellaneous Services,,"a shearer, clipper, shaver, hair-cutter, barber"
tonstricula,ae,,Petrikovits 1981a,5,57,Miscellaneous Services,,female hairdresser
tonstrix,icis,,Petrikovits 1981a,5,55,Miscellaneous Services,,female hairdresser and shearers
topiarius,i,,Petrikovits 1981a,5,55,Miscellaneous Services,,"gardener, landscaper"
torcularius,i,,Petrikovits 1981a,5,56,Miscellaneous Services,,"a presser, pressman"
toreutes,ae,,Petrikovits 1981a,1,16,Plastic Arts,,"one who makes embossed work, a chaser, graver"
toreuticesis,esis,,Petrikovits 1981a,8,83,Metal-Working,,unspecified metal worker
toreuta,ae,,Petrikovits 1981a,1,16,Plastic Arts,,"one who makes embossed work, a chaser, graver"
tornator,oris,,Petrikovits 1981a,9,99,Miscellaneous Services,,a turner
tosillaria,ae,,Petrikovits 1981a,5,57,Miscellaneous Services,,female hairdresser
tosor,oris,,Petrikovits 1981a,5,57,Miscellaneous Services,,hairdresser and shearers
tostrix,icis,,Petrikovits 1981a,5,57,Miscellaneous Services,,female hairdresser and shearers
tractator,oris,,Petrikovits 1981a,0,6,Miscellaneous Services,,"A slave among the Romans, who manipulated and suppled his master's limbs while anointing them; a shampooer"
transvectuarius,i,transvectuarius,Waltzing - provinces,0,4,Transport,Maritime/water transport,ship owner
trapezita,ae,trapezita,Waltzing - provinces,3,33,Finance,,a money-changer
tribor argentarius,oris,tribor,Petrikovits 1981a,8,88,Metal-Working,,silver polisher
trigalianus,i,,Petrikovits 1981a,,,Unclear meaning,,unclear
triliciarius,i,,Petrikovits 1981a,7,79,Clothing,,maker of three-thread fabric
tubarius,i,,Petrikovits 1981a,8,83,Miscellaneous Services,Military,"a trumpet, war-trumpet maker and distributor"
tubularius,i,,Petrikovits 1981a,8,87,Water-Management,,pipe maker
tudiator,oris,,Petrikovits 1981a,7,71,Metal-Working,,"miner, ore extractor"
tussor,oris,,Petrikovits 1981a,5,57,Miscellaneous Services,,hairdresser and shearers
uctor,oris,,Petrikovits 1981a,5,57,Miscellaneous Services,,an anointer
unctor,oris,unctor,Waltzing - Rome,5,57,Miscellaneous Services,,an anointer
unctrix,icis,,Petrikovits 1981a,5,57,Miscellaneous Services,,female perfume or ointment maker
ungnetarius,i,,Petrikovits 1981a,5,57,Miscellaneous Services,,perfume or ointment maker
unguentarius,i,,Petrikovits 1981a,5,57,Miscellaneous Services,,perfume or ointment maker
urinator,oris,urinator,Waltzing - Rome,6,64,Food-Production,,a fisherman
ursarus,i,ursarus,Waltzing - provinces,6,64,Miscellaneous Services,,hunter of wild bears
ustor,oris,,Petrikovits 1981a,5,59,Death-care sector,,mortician
utriclarius,i,utriclarius,Waltzing - provinces,0,4,Transport,Maritime/water transport,"a bagpiper, The master of a raft floated on bladders, used for ferriage"
utricularius,i,utricularius,Waltzing - provinces,0,4,Transport,Maritime/water transport,"a bagpiper, The master of a raft floated on bladders, used for ferriage"
valvarius,i,,Petrikovits 1981a,8,81,Building,Wood worker,double-door maker
varietarius,i,,Petrikovits 1981a,0,2,Building,,builder
vasarius,i,,Petrikovits 1981a,8,83,Metal-Working,,barrel smith
vasclarius,i,,Petrikovits 1981a,8,88,Metal-Working,,"a worker in metals, whitesmith, goldsmith"
vascularius,i,vascularius,Waltzing - Rome,8,88,Metal-Working,,"a worker in metals, whitesmith, goldsmith"
vector,oris,vector,Waltzing - Rome,9,97,Transport,Land transport,"one who bears, a bearer, carrier"
vecturarius,i,vecturarius,Waltzing - Rome,3,36,Transport,Land transport,a driver
vehicularius,i,,Petrikovits 1981a,9,97,Transport,Land transport,of or belonging to carriages or vehicles; post
venator,oris,venator,Waltzing - Rome,6,64,Miscellaneous Services,,a hunter
vespillo,onis,,Petrikovits 1981a,5,59,Death-care sector,,a corpse-bearer
vestiarius,i,vestiarius,Waltzing - Rome,4,43,Retail,,a clothes-dealer
vestifex,icis,,Petrikovits 1981a,7,79,Clothing,,tailor
vestificus,i,,Petrikovits 1981a,7,79,Clothing,,tailor
vestiplex,icis,,Petrikovits 1981a,7,79,Clothing,,a clothes-folder
vestiplicus,i,,Petrikovits 1981a,7,79,Clothing,,a clothes-folder
vestitor,oris,,Petrikovits 1981a,7,79,Clothing,,tailor
vestrix,icis,,Petrikovits 1981a,8,88,Metal-Working,,gold weaver
veteramentarius,i,,Petrikovits 1981a,8,95,Building,Stone worker,cobbler
veterarius,i,,Petrikovits 1981a,9,99,Miscellaneous Services,,fixer of old things
vexillarius,i,vexillarius,Waltzing - provinces,8,83,Miscellaneous Services,Military,"a standard-bearer, maker"
vietor,oris,,Petrikovits 1981a,8,81,Household Goods,,basket weaver
viminarius,i,,Petrikovits 1981a,8,81,Household Goods,,weaver
vinariarius,i,vinariarius,Waltzing - Rome,4,43,Food-Retail,,a wine - dealer
vinarius,i,vinarius,Waltzing - provinces,4,43,Food-Retail,,"a wine-dealer, vintner"
violarius,i,violarius,Waltzing - Rome,7,75,Clothing,Colour production,a dyer of violet color
viridarius,i,,Petrikovits 1981a,5,55,Miscellaneous Services,,gardener
vispillo,onis,,Petrikovits 1981a,5,59,Death-care sector,,a corpse-bearer
vitor,oris,,Petrikovits 1981a,8,81,Household Goods,,basket weaver
vitrarius,i,,Petrikovits 1981b,8,89,Glass-Working,,glass manufacturer
vitrearius,i,,Petrikovits 1981a,8,89,Glass-Working,,glass manufacturer
vitriarius,i,,Petrikovits 1981a,8,89,Glass-Working,,glass manufacturer
zonarius,i,,Petrikovits 1981a,7,79,Clothing,,belt maker
